time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,dew_point_temp_gap,Cold Object
2400,16,32,48,71.24,71.55,71.69,71.98,-53.234768,Meat
4100,15,30,45,63.6,63.63,63.81,63.95,-40.122412,FruitJuice
2110,10,20,30,37.54,37.56,37.58,37.6,-14.062412,FruitJuice
240,17,34,51,59.67,59.94,59.96,60.42,-39.986857,Iron
1600,20,40,60,56.8,57,57.1,57.8,-32.601331,Apple
1830,18,36,54,79.78,79.87,80.06,80.26,-60.096857,Copper
2180,17,34,51,65.99,66.16,66.21,66.35,-41.22178,CoolDrink
2090,20,40,60,62.7,62.6,63.2,63.4,-44.90355,Water
30,10,20,30,34.5,34.5,34.5,34.6,-16.70355,Water
2660,13,26,39,74.03,74.55,74.55,74.57,-56.024768,Meat
80,14,28,42,2.81,3.25,3.71,3.93,21.388669,Apple
170,15,30,45,60.6,61,61.9,62.29,-48.537405,Medicine
1570,11,22,33,27.67,27.755,28.08,28.165,-7.412915,ICECREAM
960,19,38,57,53.25,53.85,54.04,54.21,-35.244768,Meat
1610,17,34,51,39.41,39.95,40.46,40.52,-14.64178,FruitJuice
1580,6,12,18,60.83,60.89,60.89,61.19,-42.824768,Meat
1060,5,10,15,44.83,44.83,45.03,45.03,-20.06178,CoolDrink
1350,19,38,57,60.11,60.84,62.14,63.09,-41.420857,ICECREAM
890,18,36,54,22.94,23.24,23.42,23.6,0.537588,FruitJuice
1250,18,36,54,24.51,24.585,24.79,24.94,-4.252915,ICECREAM
2680,15,30,45,61.5,61.9,62.3,62.7,-40.64855,Water
1700,15,30,45,58.1,58.1,58.3,58.4,-40.30355,Water
400,9,18,27,31.27,31.27,31.8,32.1,-6.50178,CoolDrink
520,8,16,24,33.38,33.54,33.61,33.61,-8.61178,CoolDrink
2400,17,34,51,37.37,37.64,37.72,37.965,-17.112915,ICECREAM
3260,16,32,48,69.73,70.29,70.29,70.29,-44.96178,FruitJuice
1220,18,36,54,55.83,56.42,57.5,57.84,-37.140857,ICECREAM
860,11,22,33,34.27,34.6,35.05,35.19,-10.071331,Apple
1100,13,26,39,45.19,45.5,45.58,45.76,-20.42178,CoolDrink
1920,19,38,57,59.9,60.36,61.44,61.99,-35.13178,CoolDrink
2280,14,28,42,35.745,36.085,36.34,36.385,-15.487915,ICECREAM
2850,6,12,18,53.93,54.03,54.03,54.13,-31.842886,CoolDrink
400,11,22,33,68.38,68.65,68.68,68.7,-48.696857,Aluminium
1310,8,16,24,58.93,59.13,59.23,59.23,-40.240857,ICECREAM
360,5,10,15,38.4,38.4,38.5,38.5,-17.54855,Water
2480,12,24,36,56.64,56.73,56.79,57.1,-31.87178,FruitJuice
1320,15,30,45,50.56,53.2,53.5,53.9,-26.361331,Apple
60,6,12,18,57.31,57.31,57.31,57.41,-37.626857,Iron
1050,9,18,27,22.815,22.96,23.005,23.035,-2.557915,ICECREAM
2040,13,26,39,61.4,62.2,62.5,62.6,-37.201331,Apple
1850,11,22,33,59.5,59.8,60.1,60.4,-35.301331,Apple
350,14,28,42,29.16,29.27,29.76,29.79,-10.470857,ICECREAM
1460,12,24,36,29.79,29.79,29.86,29.92,-6.312412,FruitJuice
560,16,32,48,72.75,73.1,73.48,73.9,-60.687405,Medicine
1930,5,10,15,44.42,44.42,44.52,44.52,-22.332886,CoolDrink
1830,10,20,30,63.61,63.62,63.83,64.4,-45.604768,Meat
1190,11,22,33,75.88,76.11,76.27,76.37,-56.196857,Aluminium
930,17,34,51,44.6,44.3,42.8,43.5,-23.74855,Water
2560,19,38,57,58.9,59.3,59.7,60.1,-38.04855,Water
1890,16,32,48,76.94,77.17,77.29,77.59,-57.256857,Iron
1470,16,32,48,64.35,65.13,65.34,66.02,-45.660857,ICECREAM
510,15,30,45,40.7,40.8,41.5,40.8,-19.84855,Water
460,6,12,18,40.3,40.6,40.6,40.6,-19.44855,Water
2290,5,10,15,39.26,39.26,39.46,39.46,-15.782412,FruitJuice
1920,10,20,30,60.9,60.8,61.3,61.1,-36.701331,Apple
1660,16,32,48,28.665,28.965,29.095,29.335,-8.407915,ICECREAM
1220,16,32,48,27.38,27.46,27.56,27.81,-3.902412,FruitJuice
990,7,14,21,43.8,43.5,43.5,43.6,-22.94855,Water
120,19,38,57,25.75,26.43,26.45,26.96,-0.98178,CoolDrink
740,12,24,36,38.45,38.59,39.02,39.17,-13.68178,CoolDrink
170,8,16,24,60.6,61,61.11,61.11,-48.537405,Medicine
1820,16,32,48,59.2,59.3,59.5,60.1,-41.40355,Water
1810,20,40,60,33.47,33.84,34.11,34.34,-9.992412,FruitJuice
870,11,22,33,47.6,47.8,48.1,48.2,-29.80355,Water
2520,20,40,60,41.97,42.06,42.37,42.41,-18.492412,FruitJuice
2650,14,28,42,88.37,88.37,88.6,88.65,-68.686857,Copper
1970,17,34,51,83.49,83.66,83.75,83.87,-63.806857,Aluminium
10,8,16,24,51.96,52.44,52.82,52.82,-39.897405,Medicine
2070,5,10,15,49.06,49.13,49.13,49.18,-24.29178,FruitJuice
910,5,10,15,83.33,84.2,84.2,84.2,-71.267405,Medicine
1840,14,28,42,82.17,82.17,82.33,82.37,-62.486857,Aluminium
1880,10,20,30,60.4,60.8,60.2,61,-42.60355,Water
1920,6,12,18,31.755,31.9,31.9,32.035,-11.497915,ICECREAM
350,16,32,48,28.09,28.3,28.4,28.61,-6.002886,CoolDrink
1310,9,18,27,77.3,77.73,77.73,77.77,-57.616857,Aluminium
2030,12,24,36,81.56,81.62,81.63,81.68,-61.876857,Copper
2020,8,16,24,78.02,78.46,78.54,78.54,-58.336857,Iron
600,11,22,33,73.73,73.9,74.12,74.25,-61.667405,Medicine
1820,14,28,42,59.2,59.2,59.5,59.8,-41.40355,Water
770,15,30,45,78.47,78.8,78.82,79.58,-66.407405,Medicine
2990,18,36,54,78.74,79.25,79.54,79.55,-60.734768,Meat
1770,6,12,18,42.79,42.82,42.82,42.92,-18.02178,FruitJuice
2200,16,32,48,34.94,35.15,35.22,35.38,-14.682915,ICECREAM
60,8,16,24,65.21,65.26,65.43,65.43,-45.526857,Aluminium
110,10,20,30,13.18,13.39,13.42,13.5,10.297588,FruitJuice
60,11,22,33,34.6,34.6,34.8,34.7,-16.80355,Water
1590,16,32,48,76.8,76.82,76.9,77.15,-57.116857,Copper
1680,6,12,18,58,58,58,58.1,-33.801331,Apple
2130,12,24,36,37.58,37.6,37.68,37.94,-14.102412,FruitJuice
1200,14,28,42,76.11,76.27,76.47,76.52,-56.426857,Aluminium
1220,19,38,57,27.38,27.46,27.63,27.84,-3.902412,FruitJuice
1540,9,18,27,76.24,76.41,76.46,76.54,-56.556857,Copper
270,17,34,51,27.38,27.85,27.92,28.85,-8.690857,ICECREAM
130,6,12,18,58.35,58.78,58.78,59.47,-46.287405,Medicine
3280,6,12,18,74.6,74.8,74.8,75.1,-53.74855,Water
180,17,34,51,66.29,66.36,66.37,66.47,-46.606857,Aluminium
20,11,22,33,56.77,56.89,57.26,57.3,-37.086857,Iron
80,19,38,57,54.51,56.25,58.16,58.78,-42.447405,Medicine
210,5,10,15,62.95,62.95,63.25,63.25,-43.266857,Copper
2050,17,34,51,45.66,45.87,45.97,46.18,-23.572886,CoolDrink
1570,18,36,54,60.47,60.89,61.24,61.29,-42.464768,Meat
1260,8,16,24,70.41,70.62,70.66,70.66,-50.726857,Iron
1740,9,18,27,81.09,81.12,81.37,81.39,-61.406857,Aluminium
480,10,20,30,62.16,62.21,62.38,62.45,-42.476857,Iron
2210,5,10,15,47.31,47.42,47.42,47.52,-25.222886,CoolDrink
2440,18,36,54,83.22,83.74,83.95,84.07,-63.536857,Iron
740,19,38,57,23.35,24.17,24.4,24.72,1.41822,FruitJuice
100,13,26,39,13,13.18,13.42,13.5,10.477588,FruitJuice
2860,8,16,24,73.1,72.8,73.3,73.3,-55.30355,Water
380,14,28,42,31.14,31.16,31.27,31.8,-6.37178,CoolDrink
2210,19,38,57,66.21,66.35,66.99,66.99,-41.44178,CoolDrink
1230,19,38,57,33.16,33.21,33.71,34.28,-8.39178,FruitJuice
140,11,22,33,66.05,66.15,66.19,66.23,-46.366857,Aluminium
1880,20,40,60,59.34,59.6,59.9,60.36,-34.57178,CoolDrink
1080,13,26,39,52.3,52.55,53.03,53.21,-33.610857,ICECREAM
2570,14,28,42,57.91,58.61,58.82,58.88,-33.14178,FruitJuice
350,6,12,18,38.9,39,39,38.7,-21.10355,Water
970,5,10,15,73.64,73.64,73.65,73.65,-53.956857,Aluminium
2080,9,18,27,62.6,62.7,62.8,62.6,-44.80355,Water
680,12,24,36,42.6,42.3,41.9,42.4,-21.74855,Water
2740,11,22,33,75.26,75.43,75.5,75.79,-57.254768,Meat
2470,13,26,39,40.7,40.7,40.91,41.74,-17.222412,FruitJuice
3180,7,14,21,72.5,72.7,72.7,72.8,-51.64855,Water
1000,8,16,24,34.81,34.91,35.02,35.02,-12.722886,CoolDrink
620,19,38,57,30.88,31.09,31.3,31.5,-8.792886,CoolDrink
3030,15,30,45,79.54,79.79,80.47,80.7,-61.534768,Meat
610,8,16,24,73.9,74.12,74.25,74.25,-61.837405,Medicine
50,12,24,36,64.98,65.21,65.26,65.6,-45.296857,Aluminium
930,9,18,27,34.09,34.19,34.29,34.4,-12.002886,CoolDrink
1180,9,18,27,54.96,55.05,55.44,55.54,-36.270857,ICECREAM
520,18,36,54,62.59,62.96,63.08,63.43,-42.906857,Iron
2000,17,34,51,81.19,81.35,81.56,81.63,-61.506857,Copper
100,9,18,27,56.25,57.08,58.16,58.35,-44.187405,Medicine
2670,7,14,21,86.51,86.6,86.6,86.61,-66.826857,Iron
1890,13,26,39,64.99,64.99,65.58,65.65,-46.984768,Meat
1690,13,26,39,70.66,70.72,71.58,71.83,-51.970857,ICECREAM
160,8,16,24,32.6,33.1,33.8,33.8,-11.74855,Water
880,18,36,54,72.75,73.04,73.15,73.17,-53.066857,Aluminium
1450,5,10,15,72.68,72.68,72.75,72.75,-52.996857,Iron
50,20,40,60,53.19,54.31,55.95,57.08,-41.127405,Medicine
370,17,34,51,19.9,20.14,20.16,20.38,4.86822,FruitJuice
1220,7,14,21,37.08,37.19,37.19,37.29,-14.992886,CoolDrink
1010,11,22,33,24.31,24.36,24.38,24.54,-0.832412,FruitJuice
210,16,32,48,59.3,59.5,59.67,59.94,-39.616857,Iron
20,20,40,60,24.73,24.85,25.2,25.49,0.03822,CoolDrink
3990,15,30,45,61.55,62.05,62.13,62.51,-38.072412,FruitJuice
3130,18,36,54,75.3,75.6,74.4,74.6,-57.50355,Water
1350,16,32,48,77.8,77.9,77.92,78.06,-58.116857,Aluminium
2590,9,18,27,58.75,58.82,58.88,58.94,-33.98178,FruitJuice
640,9,18,27,74.36,75.26,75.49,75.7,-62.297405,Medicine
3850,12,24,36,59.41,59.86,59.96,60.3,-35.932412,FruitJuice
1950,14,28,42,80.74,80.78,81.07,81.15,-61.056857,Copper
250,9,18,27,27.09,27.32,27.38,27.82,-8.400857,ICECREAM
2690,5,10,15,70.8,70.7,70.7,71,-53.00355,Water
2030,12,24,36,78.46,78.54,78.58,78.74,-58.776857,Iron
2200,7,14,21,64.4,63.5,63.5,64.1,-40.201331,Apple
780,12,24,36,19.63,19.73,19.82,20.38,0.627085,ICECREAM
930,16,32,48,35.77,35.82,36.1,38.48,-11.571331,Apple
160,19,38,57,23.16,24.18,25.84,25.98,-4.470857,ICECREAM
560,15,30,45,41.6,40.5,41.3,41.2,-20.74855,Water
720,13,26,39,38.17,38.36,38.59,39.02,-13.40178,CoolDrink
890,14,28,42,44.2,44.1,43.9,44.6,-23.34855,Water
210,16,32,48,62.95,63.28,63.41,63.61,-43.266857,Copper
1970,12,24,36,77.7,77.93,78.02,78.22,-59.010857,ICECREAM
2680,10,20,30,70.6,70.8,70.7,71,-46.401331,Apple
3720,7,14,21,62.92,63.02,63.02,63.12,-40.832886,CoolDrink
610,15,30,45,73.9,74.25,74.36,75.49,-61.837405,Medicine
1440,20,40,60,75.68,75.72,75.87,75.96,-55.996857,Copper
550,17,34,51,72.28,72.97,73.1,73.73,-60.217405,Medicine
1770,9,18,27,78.91,79.09,79.19,79.27,-59.226857,Copper
2800,13,26,39,72.1,72.2,72.6,72.4,-54.30355,Water
770,14,28,42,78.47,78.6,78.82,78.95,-66.407405,Medicine
