time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,Cold Object
2230.0,7.0,14.0,21.0,35.22,35.31,35.31,35.38,ICECREAM
740.0,8.0,16.0,24.0,77.2,77.79,78.04,78.04,Medicine
540.0,6.0,12.0,18.0,69.18,69.42,69.42,69.57,Aluminium
740.0,17.0,34.0,51.0,38.45,39.02,39.08,39.3,CoolDrink
200.0,7.0,14.0,21.0,6.14,6.57,6.57,7.04,Apple
1150.0,5.0,10.0,15.0,44.43,44.84,44.84,45.25,Apple
1500.0,14.0,28.0,42.0,38.15,38.17,38.4,38.5,FruitJuice
930.0,8.0,16.0,24.0,70.52,70.64,70.73,70.73,Copper
2580.0,13.0,26.0,39.0,85.49,85.56,85.72,85.78,Iron
590.0,18.0,36.0,54.0,23.67,24.99,25.25,25.29,Apple
550.0,17.0,34.0,51.0,47.36,47.63,47.67,48.31,Meat
2650.0,6.0,12.0,18.0,88.37,88.37,88.37,88.4,Copper
470.0,18.0,36.0,54.0,16.735,16.81,17.025,17.19,ICECREAM
860.0,16.0,32.0,48.0,33.36,33.57,33.67,33.88,CoolDrink
2940.0,16.0,32.0,48.0,78.22,78.5,78.52,78.74,Meat
380.0,5.0,10.0,15.0,66.97,66.97,67.08,67.08,Medicine
470.0,8.0,16.0,24.0,40.6,40.6,40.4,40.4,Water
380.0,19.0,38.0,57.0,31.14,31.27,31.8,32.3,CoolDrink
3180.0,8.0,16.0,24.0,68.1,68.35,68.68,68.68,FruitJuice
160.0,5.0,10.0,15.0,5.66,5.66,5.68,5.68,Apple
140.0,8.0,16.0,24.0,4.3,4.8,5.66,5.66,Apple
20.0,19.0,38.0,57.0,19.81,20.48,21.05,21.52,ICECREAM
140.0,17.0,34.0,51.0,58.78,59.64,60.6,61.11,Medicine
1460.0,20.0,40.0,60.0,44.7,44.5,44.8,45.3,Water
1110.0,17.0,34.0,51.0,44.17,44.24,44.31,44.84,Apple
930.0,7.0,14.0,21.0,44.6,43.0,43.0,44.3,Water
620.0,11.0,22.0,33.0,74.12,74.25,74.36,75.26,Medicine
2370.0,12.0,24.0,36.0,51.8,53.1,51.9,52.8,Water
2480.0,5.0,10.0,15.0,50.1,50.21,50.21,50.31,CoolDrink
700.0,8.0,16.0,24.0,76.09,76.42,76.46,76.46,Medicine
230.0,14.0,28.0,42.0,7.22,7.55,8.64,9.7,Apple
1390.0,15.0,30.0,45.0,62.14,63.09,63.34,63.75,ICECREAM
810.0,16.0,32.0,48.0,32.57,33.06,33.17,34.27,Apple
3910.0,15.0,30.0,45.0,64.88,65.09,65.19,65.4,CoolDrink
1620.0,11.0,22.0,33.0,39.9,39.95,40.46,40.52,FruitJuice
